Name,CleanedName,KatakanaName_Auto,ManualKatakana,Core_Katakana
Sharing Innovations Inc.,Sharing Innovations,SHARING INNOVATIONS,シェアリングイノベーションズ,シェアリングイノベーションズ
G-NEXT Inc.,G NEXT,G NEXT,ジーネクスト,ジーネクスト
"Appier Group,Inc.",Appier,APPIER,アピア,アピア
SpiderPlus & Co.,SpiderPlus,SPIDERPLUS,スパイダープラス,スパイダープラス
"Fabrica Communications Co.,LTD.",Fabrica Communications,FABRICA COMMUNICATIONS,ファブリカコミュニケーションズ,ファブリカコミュニケーションズ
"Visional,Inc.",Visional,VISIONAL,ビジョナル,ビジョナル
NEO MARKETING Inc.,NEO MARKETING,NEO MARKETING,ネオマーケティング,ネオマーケティング
"TENDA Co.,LTD.",TENDA,TENDA,テンダ,テンダ
WonderPlanet Inc.,WonderPlanet,WONDERPLANET,ワンダープラネット,ワンダープラネット
"HCS HOLDINGS CO.,LTD.",HCS,HCS,エイチシーエス,エイチシーエス
THECOO Inc.,THECOO,THECOO,ザクー,ザクー
"CYND Co.,Ltd.",CYND,CYND,シンド,シンド
AMIYA Corporation,AMIYA,AMIYA,アミヤ,アミヤ
ExaWizards Inc.,ExaWizards,EXAWIZARDS,エクサウィザーズ,エクサウィザーズ
"Hybrid Technologies Co.,Ltd.",Hybrid Technologies,HYBRID TECHNOLOGIES,ハイブリッドテクノロジーズ,ハイブリッドテクノロジーズ
"AsiaQuest Co.,Ltd.",AsiaQuest,ASIAQUEST,アジアクエスト,アジアクエスト
"NIFTY Lifestyle Co.,Ltd.",NIFTY Lifestyle,NIFTY LIFESTYLE,ニフティライフスタイル,ニフティライフスタイル
"SUSMED,Inc.",SUSMED,SUSMED,サスメド,サスメド
"SECURE,INC.",SECURE,SECURE,セキュア,セキュア
Institution for a Global Society Corporation,Institution for a Global Society,INSTITUTION FOR A GLOBAL SOCIETY,インスティテューションフォーアグローバルソサエティ,インスティテューションフォーアグローバルソサエティ
"SOLXYZ Co.,Ltd.",SOLXYZ,SOLXYZ,ソルクシーズ,ソルクシーズ
JUST PLANNING INC.,JUST PLANNING,JUST PLANNING,ジャストプランニング,ジャストプランニング
"Asgent,Inc.",Asgent,ASGENT,アスジェント,アスジェント
"Faith, Inc.",Faith,FAITH,フェイス,フェイス
PROTO CORPORATION,PROTO,PROTO,プロト,プロト
"HIMACS,Ltd.",HIMACS,HIMACS,ハイマックス,ハイマックス
Estore Corporation,Estore,ESTORE,イーストア,イーストア
"Nomura Research Institute,Ltd.",Nomura Research Institute,NOMURA RESEARCH INSTITUTE,ノムラソウゴウケンキュウジョ,ノムラソウケン
J-Stream Inc.,J Stream,J STREAM,ジェイストリーム,ジェイストリーム
"Cybernet Systems Co.,Ltd.",Cybernet Systems,CYBERNET SYSTEMS,サイバネットシステムズ,サイバネットシステムズ
"BeMap,Inc.",BeMap,BEMAP,ビーマップ,ビーマップ
"CE Holdings Co.,Ltd.",CE,CE,シーイー,シーイー
"Japan System Techniques Co.,Ltd.",Japan System Techniques,JAPAN SYSTEM TECHNIQUES,ジャパンシステムテクニークス,ジャパンシステムテクニークス
INTAGE HOLDINGS Inc.,INTAGE,INTAGE,インテージ,インテージ
"TOHO SYSTEM SCIENCE CO.,LTD.",TOHO SYSTEM SCIENCE,TOHO SYSTEM SCIENCE,トーホーシステムサイエンス,トーホーシステムサイエンス
"YUKE'S Co.,Ltd.",YUKE'S,YUKE'S,ユークス,ユークス
"IPS CO.,LTD.",IPS,IPS,アイピーエス,アイピーエス
SOURCENEXT CORPORATION,SOURCENEXT,SOURCENEXT,ソースネクスト,ソースネクスト
INFOCOM CORPORATION,INFOCOM,INFOCOM,インフォコム,インフォコム
"APPLIED TECHNOLOGY CO.,LTD.",APPLIED TECHNOLOGY,APPLIED TECHNOLOGY,アプライドテクノロジー,アプライドテクノロジー
Mobilus Corporation,Mobilus,MOBILUS,モビラス,モビラス
Core Concept Technologies Inc.,Core Concept Technologies,CORE CONCEPT TECHNOLOGIES,コアコンセプトテクノロジーズ,コアコンセプトテクノロジーズ
"YMIRLINK,Inc.",YMIRLINK,YMIRLINK,ユミルリンク,ユミルリンク
"Simplex Holdings,Inc.",Simplex,SIMPLEX,シンプレクス,シンプレクス
ROBOT PAYMENT INC.,ROBOT PAYMENT,ROBOT PAYMENT,ロボットペイメント,ロボットペイメント
Safie Inc.,Safie,SAFIE,セーフィー,セーフィー
Kufu Company Inc.,Kufu Company,KUFU COMPANY,クフウカンパニー,クフウカンパニー
ONE CAREER Inc.,ONE CAREER,ONE CAREER,ワンキャリア,ワンキャリア
CINC Corp.,CINC Corp,CINC CORP,シンク,シンク
Photosynth inc.,Photosynth,PHOTOSYNTH,フォトシンス,フォトシンス
M - mart Inc.,M mart,M MART,エムマート,エムマート
"BPLATS,Inc.",BPLATS,BPLATS,ビープラッツ,ビープラッツ
"HEROZ,Inc.",HEROZ,HEROZ,ヒーローズ,ヒーローズ
RAKSUL INC.,RAKSUL,RAKSUL,ラクスル,ラクスル
"Mercari,Inc.",Mercari,MERCARI,メルカリ,メルカリ
"SIG Group Co.,Ltd.",SIG,SIG,エスアイジー,エスアイジー
"ZUU Co.,Ltd.",ZUU,ZUU,ズー,ズー
"AI,Inc.",AI,AI,エーアイ,エーアイ
"Property Data Bank,Inc.",Property Data Bank,PROPERTY DATA BANK,プロパティデータバンク,プロパティデータバンク
"IPS,Inc.",IPS,IPS,アイピーエス,アイピーエス
"Logizard Co.,Ltd.",Logizard,LOGIZARD,ロジザード,ロジザード
"Future Innovation Group,Inc.",Future Innovation,FUTURE INNOVATION,フューチャーイノベーション,フューチャーイノベーション
"Bank of Innovation,Inc.",Bank of Innovation,BANK OF INNOVATION,バンクオブイノベーション,バンクオブイノベーション
"eXmotion Co.,Ltd.",eXmotion,EXMOTION,エクスモーション,エクスモーション
Accrete Inc.,Accrete,ACCRETE,アクレート,アクレート
System Support Inc.,System Support,SYSTEM SUPPORT,システムサポート,システムサポート
TeamSpirit Inc.,TeamSpirit,TEAMSPIRIT,チームスピリット,チームスピリット
"BroadBand Security,Inc.",BroadBand Security,BROADBAND SECURITY,ブロードバンドセキュリティ,ブロードバンドセキュリティ
"Science Arts,Inc.",Science Arts,SCIENCE ARTS,サイエンスアーツ,サイエンスアーツ
"baudroie,inc.",baudroie,BAUDROIE,ボードロア,ボードロア
"FLECT Co.,Ltd.",FLECT,FLECT,フレクト,フレクト
"BROAD ENTERPRISE CO.,LTD.",BROAD ENTERPRISE,BROAD ENTERPRISE,ブロードエンタープライズ,ブロードエンタープライズ
True Data Inc.,True Data,TRUE DATA,トゥルーデータ,トゥルーデータ
Global Security Experts Inc.,Global Security Experts,GLOBAL SECURITY EXPERTS,グローバルセキュリティエキスパーツ,グローバルセキュリティエキスパーツ
Japan Data Science Consortium Co.Ltd.,Japan Data Science Consortium,JAPAN DATA SCIENCE CONSORTIUM,ジャパンデータサイエンスコンソーシアム,ジャパンデータサイエンスコンソーシアム
Finatext Holdings Ltd.,Finatext,FINATEXT,フィナテキスト,フィナテキスト
"eSOL Co.,Ltd.",eSOL,ESOL,イーソル,イーソル
"D.I.System Co.,Ltd.",D I System,D I SYSTEM,ディーアイシステム,ディーアイシステム
VALUENEX Japan Inc.,VALUENEX Japan,VALUENEX JAPAN,バリューネクスジャパン,バリューネクスジャパン
ARTERIA Networks Corporation,ARTERIA Networks,ARTERIA NETWORKS,アルテリアネットワークス,アルテリアネットワークス
"Amazia,inc.",Amazia,AMAZIA,アメイジア,アメイジア
Kudan Inc.,Kudan,KUDAN,クダン,クダン
"EduLab,Inc.",EduLab,EDULAB,エデュラボ,エデュラボ
sinops Inc.,sinops,SINOPS,シノプス,シノプス
"Ricksoft Co.,Ltd.",Ricksoft,RICKSOFT,リックソフト,リックソフト
"TOKAI SOFT CO.,LTD.",TOKAI SOFT,TOKAI SOFT,トウカイソフト,トウカイソフト
"Smaregi,Inc.",Smaregi,SMAREGI,スマレジ,スマレジ
WingArc1st Inc.,WingArc1st,WINGARC1ST,ウイングアークワンスト,ウイングアークワンスト
"HITO-Communications Holdings,Inc.",HITO Communications,HITO COMMUNICATIONS,ヒトコミュニケーションズ,ヒトコミュニケーションズ
"Serverworks Co.,Ltd.",Serverworks,SERVERWORKS,サーバーワークス,サーバーワークス
"kaonavi,inc.",kaonavi,KAONAVI,カオナビ,カオナビ
"MINKABU THE INFONOID,Inc.",MINKABU THE INFONOID,MINKABU THE INFONOID,ミンカブザインフォノイド,ミンカブザインフォノイド
"gooddays holdings,Inc.",gooddays,GOODDAYS,グッデイズ,グッデイズ
Welby Inc.,Welby,WELBY,ウェルビー,ウェルビー
"TOUMEI CO.,LTD.",TOUMEI,TOUMEI,トウメイ,トウメイ
WITZ Corporation,WITZ,WITZ,ウィッツ,ウィッツ
Tobila Systems Inc.,Tobila Systems,TOBILA SYSTEMS,トビラシステムズ,トビラシステムズ
"VALTES CO.,LTD.",VALTES,VALTES,バルテス,バルテス
"Sansan,Inc.",Sansan,SANSAN,サンサン,サンサン
infoNet inc.,infoNet,INFONET,インフォネット,インフォネット
Living Technologies Inc.,Living Technologies,LIVING TECHNOLOGIES,リビングテクノロジーズ,リビングテクノロジーズ
Link-U Inc.,Link U,LINK U,リンクユー,リンクユー
"Chatwork Co.,Ltd.",Chatwork,CHATWORK,チャットワーク,チャットワーク
giftee Inc.,giftee,GIFTEE,ギフティ,ギフティ
"Power Solutions,Ltd.",Power Solutions,POWER SOLUTIONS,パワーソリューションズ,パワーソリューションズ
HENNGE K.K.,HENNGE K K,HENNGE K K,ヘンゲ,ヘンゲ
AI CROSS Inc.,AI CROSS,AI CROSS,エーアイクロス,エーアイクロス
"BASE,Inc.",BASE,BASE,ベイス,ベイス
freee K.K.,freee K K,FREEE K K,フリー,フリー
"Makuake,Inc.",Makuake,MAKUAKE,マクアケ,マクアケ
"MEDLEY,INC.",MEDLEY,MEDLEY,メドレー,メドレー
"BASE CO.,LTD.",BASE,BASE,ベース,ベース
WILLs Inc.,WILLs,WILLS,ウィルズ,ウィルズ
JMDC Inc.,JMDC,JMDC,ジェイエムディーシー,ジェイエムディーシー
"LANCERS,INC.",LANCERS,LANCERS,ランサーズ,ランサーズ
JTOWER Inc.,JTOWER,JTOWER,ジェイタワー,ジェイタワー
Unite and Grow Inc.,Unite and Grow,UNITE AND GROW,ユナイトアンドグロウ,ユナイトアンドグロウ
"Spacemarket,Inc.",Spacemarket,SPACEMARKET,スペースマーケット,スペースマーケット
AI inside Inc.,AI inside,AI INSIDE,エーアイインサイド,エーアイインサイド
Payroll Inc.,Payroll,PAYROLL,ペイロール,ペイロール
VisasQ Inc.,VisasQ,VISASQ,ビザスク,ビザスク
"Computer Management Co.,Ltd.",Computer Management,COMPUTER MANAGEMENT,コンピュータマネジメント,コンピュータマネジメント
GENETEC CORPORATION,GENETEC,GENETEC,ジェネテック,ジェネテック
"Cyber Security Cloud,Inc.",Cyber Security Cloud,CYBER SECURITY CLOUD,サイバーセキュリティクラウド,サイバーセキュリティクラウド
Vario Secure Inc.,Vario Secure,VARIO SECURE,バリオセキュア,バリオセキュア
"i3 Systems,Inc.",i3 Systems,I3 SYSTEMS,アイスリーシステムズ,アイスリーシステムズ
Commerce One Holdings Inc.,Commerce One,COMMERCE ONE,コマースワン,コマースワン
"Cybertrust Japan Co.,Ltd.",Cybertrust Japan,CYBERTRUST JAPAN,サイバートラストジャパン,サイバートラストジャパン
"Speee,Inc.",Speee,SPEEE,スピー,スピー
"Imagineer Co.,Ltd.",Imagineer,IMAGINEER,イマジニア,イマジニア
Focus Systems Corporation,Focus Systems,FOCUS SYSTEMS,フォーカスシステムズ,フォーカスシステムズ
"AISAN TECHNOLOGY CO.,LTD.",AISAN TECHNOLOGY,AISAN TECHNOLOGY,アイサンテクノロジー,アイサンテクノロジー
CRESCO LTD.,CRESCO,CRESCO,クレスコ,クレスコ
"FUJI MEDIA HOLDINGS,INC.",FUJI MEDIA,FUJI MEDIA,フジメディア,フジメディア
"OBIC Co.,Ltd.",OBIC,OBIC,オービック,オービック
"Ryoyu Systems Co.,Ltd.",Ryoyu Systems,RYOYU SYSTEMS,リョウユウシステムズ,リョウユウシステムズ
JUSTSYSTEMS CORPORATION,JUSTSYSTEMS,JUSTSYSTEMS,ジャストシステム,ジャストシステム
TDC SOFT Inc.,TDC SOFT,TDC SOFT,ティーディーシーソフト,ティーディーシーソフト
Z Holdings Corporation,Z,Z,ゼット,ゼット
Trend Micro Incorporated,Trend Micro Incorporated,TREND MICRO INCORPORATED,トレンドマイクロ,トレンドマイクロ
ID Holdings Corporation,ID,ID,アイディー,アイディー
ORACLE CORPORATION JAPAN,ORACLE JAPAN,ORACLE JAPAN,ニホンオラクル,ニホンオラクル
ALPHA SYSTEMS INC.,ALPHA SYSTEMS,ALPHA SYSTEMS,アルファシステムズ,アルファシステムズ
Future Corporation,Future,FUTURE,フューチャー,フューチャー
CAC Holdings Corporation,CAC,CAC,シーエーシー,シーエーシー
SB Technology Corp.,SB Technology Corp,SB TECHNOLOGY CORP,エスビー・テクノロジー,エスビー・テクノロジー
"TOSE CO.,LTD.",TOSE,TOSE,トーセ,トーセ
"OBIC BUSINESS CONSULTANTS CO.,LTD.",OBIC BUSINESS CONSULTANTS,OBIC BUSINESS CONSULTANTS,オービックビジネスコンサルタント,オービックビジネスコンサルタント
Nippon RAD Inc.,Nippon RAD,NIPPON RAD,ニッポンラッド,ニッポンラッド
ITOCHU Techno-Solutions Corporation,ITOCHU Techno Solutions,ITOCHU TECHNO SOLUTIONS,イトウチュウテクノソリューションズ,イトウチュウテクノソリューションズ
ITFOR Inc.,ITFOR,ITFOR,アイティフォー,アイティフォー
"Toukei Computer Co.,Ltd.",Toukei Computer,TOUKEI COMPUTER,トウケイコンピュータ,トウケイコンピュータ
KOZO KEIKAKU ENGINEERING Inc.,KOZO KEIKAKU ENGINEERING,KOZO KEIKAKU ENGINEERING,コウゾウケイカクエンジニアリング,コウゾウケイカクエンジニアリング
SHOWA SYSTEM ENGINEERING CORPORATION,SHOWA SYSTEM ENGINEERING,SHOWA SYSTEM ENGINEERING,ショウワシステムエンジニアリング,ショウワシステムエンジニアリング
SAKURA KCS Corporation,SAKURA KCS,SAKURA KCS,サクライケーシーエス,サクライケーシーエス
XNET Corporation,XNET,XNET,エックスネット,エックスネット
"Nexus Bank Co.,Ltd.",Nexus Bank,NEXUS BANK,ネクサスバンク,ネクサスバンク
OTSUKA CORPORATION,OTSUKA,OTSUKA,オオツカショウカイ,オオツカショウカイ
"INFORMATION CREATIVE CO.,LTD.",INFORMATION CREATIVE,INFORMATION CREATIVE,インフォメーションクリエイティブ,インフォメーションクリエイティブ
"ZUKEN ELMIC,INC.",ZUKEN ELMIC,ZUKEN ELMIC,ズケンエルミック,ズケンエルミック
Stream Media Corporation,Stream Media,STREAM MEDIA,ストリームメディア,ストリームメディア
"Cybozu,Inc.",Cybozu,CYBOZU,サイボウズ,サイボウズ
GALA INCORPORATED,GALA INCORPORATED,GALA INCORPORATED,ガーラ,ガーラ
"SOFTBRAIN Co.,Ltd.",SOFTBRAIN,SOFTBRAIN,ソフトブレーン,ソフトブレーン
"Nippon Computer Dynamics Co.,Ltd.",Nippon Computer Dynamics,NIPPON COMPUTER DYNAMICS,ニッポンコンピュータダイナミクス,ニッポンコンピュータダイナミクス
Oricon Inc.,Oricon,ORICON,オリコン,オリコン
"Information Services International-Dentsu,Ltd.",Information Services International Dentsu,INFORMATION SERVICES INTERNATIONAL DENTSU,アイエスアイディー,アイエスアイディー
"ACCESS CO.,LTD.",ACCESS,ACCESS,アクセス,アクセス
Nextware Ltd.,Nextware,NEXTWARE,ネクストウェア,ネクストウェア
"TOEI ANIMATION CO.,LTD.",TOEI ANIMATION,TOEI ANIMATION,トウエイアニメーション,トウエイアニメーション
"Digital Garage,Inc.",Digital Garage,DIGITAL GARAGE,デジタルガレージ,デジタルガレージ
"EM SYSTEMS CO.,LTD.",EM SYSTEMS,EM SYSTEMS,イーエムシステムズ,イーエムシステムズ
"MEDIASEEK,inc.",MEDIASEEK,MEDIASEEK,メディアシーク,メディアシーク
WEATHERNEWS INC.,WEATHERNEWS,WEATHERNEWS,ウェザーニューズ,ウェザーニューズ
"Computer Institute of Japan, Ltd.",Computer Institute of Japan,COMPUTER INSTITUTE OF JAPAN,コンピュータインスティテュートオブジャパン,コンピュータインスティテュートオブジャパン
Business Engineering Corporation,Business Engineering,BUSINESS ENGINEERING,ビジネスエンジニアリング,ビジネスエンジニアリング
"Nihon Enterprise Co.,Ltd.",Nihon Enterprise,NIHON ENTERPRISE,ニホンエンタープライズ,ニホンエンタープライズ
"JFE Systems, Inc.",JFE Systems,JFE SYSTEMS,ジェイエフイーシステムズ,ジェイエフイーシステムズ
SPACE SHOWER NETWORKS INC.,SPACE SHOWER NETWORKS,SPACE SHOWER NETWORKS,スペースシャワーネットワークス,スペースシャワーネットワークス
WOWOW INC.,WOWOW,WOWOW,ワウワウ,ワウワウ
"Scala,Inc.",Scala,SCALA,スカラ,スカラ
INTELLIGENT WAVE INC.,INTELLIGENT WAVE,INTELLIGENT WAVE,インテリジェントウェイブ,インテリジェントウェイブ
"Nippon Columbia Co.,Ltd.",Nippon Columbia,NIPPON COLUMBIA,ニッポンコロムビア,ニッポンコロムビア
IMAGICA GROUP Inc.,IMAGICA,IMAGICA,イマジカ,イマジカ
ACMOS INC.,ACMOS,ACMOS,アクモス,アクモス
"SOPHIA HOLDINGS CO.,LTD.",SOPHIA,SOPHIA,ソフィア,ソフィア
"Net One Systems Co.,Ltd.",Net One Systems,NET ONE SYSTEMS,ネットワンシステムズ,ネットワンシステムズ
SystemSoft Corporation,SystemSoft,SYSTEMSOFT,システムソフト,システムソフト
ARGO GRAPHICS Inc.,ARGO GRAPHICS,ARGO GRAPHICS,アルゴグラフィックス,アルゴグラフィックス
Marvelous Inc.,Marvelous,MARVELOUS,マーベラス,マーベラス
Starts Publishing Corporation,Starts Publishing,STARTS PUBLISHING,スターツシュッパン,スターツシュッパン
Avex Inc.,Avex,AVEX,エイベックス,エイベックス
"Nihon Unisys,Ltd.",Nihon Unisys,NIHON UNISYS,ニホンユニシス,ニホンユニシス
KANEMATSU ELECTRONICS LTD.,KANEMATSU ELECTRONICS,KANEMATSU ELECTRONICS,カネマツエレクトロニクス,カネマツエレクトロニクス
"TSUZUKI DENKI CO.,LTD.",TSUZUKI DENKI,TSUZUKI DENKI,ツヅキデンキ,ツヅキデンキ
SUZUYO SHINWART CORPORATION,SUZUYO SHINWART,SUZUYO SHINWART,スズヨシンワート,スズヨシンワート
Beat Holdings Limited,Beat Limited,BEAT LIMITED,ビート,ビート
"TBS HOLDINGS,INC.",TBS,TBS,ティービーエス,ティービーエス
"Nippon Television Holdings,Inc.",Nippon Television,NIPPON TELEVISION,ニホンテレビ,ニホンテレビ
ASAHI BROADCASTING GROUP HOLDINGS CORPORATION,ASAHI BROADCASTING,ASAHI BROADCASTING,アサヒホウソウ,アサヒホウソウ
BROADCASTING SYSTEM OF NIIGATA INCORPORATED,BROADCASTING SYSTEM OF NIIGATA INCORPORATED,BROADCASTING SYSTEM OF NIIGATA INCORPORATED,ニイガタホウソウ,ニイガタホウソウ
TV Asahi Holdings Corporation,TV Asahi,TV ASAHI,テレビアサヒ,テレビアサヒ
SKY Perfect JSAT Holdings Inc.,SKY Perfect JSAT,SKY PERFECT JSAT,スカパージェイサット,スカパージェイサット
TV TOKYO Holdings Corporation,TV TOKYO,TV TOKYO,テレビトウキョウ,テレビトウキョウ
Nippon BS Broadcasting Corporation,Nippon BS Broadcasting,NIPPON BS BROADCASTING,ニッポンビーエスホウソウ,ニッポンビーエスホウソウ
VISION INC.,VISION,VISION,ビジョン,ビジョン
"Smartvalue Co.,Ltd.",Smartvalue,SMARTVALUE,スマートバリュー,スマートバリュー
"USEN-NEXT HOLDINGS Co.,Ltd.",USEN NEXT,USEN NEXT,ユーセンネクスト,ユーセンネクスト
"WirelessGate,Inc.",WirelessGate,WIRELESSGATE,ワイヤレスゲート,ワイヤレスゲート
NJ Holdings Inc.,NJ,NJ,エヌジェイ,エヌジェイ
CONEXIO Corporation,CONEXIO,CONEXIO,コネクシオ,コネクシオ
Forval RealStraight Inc.,Forval RealStraight,FORVAL REALSTRAIGHT,フォーバルリアルストレート,フォーバルリアルストレート
Japan Communications Inc.,Japan Communications,JAPAN COMMUNICATIONS,ニホンツウシン,ニホンツウシン
NIPPON TELEPHONE INC.,NIPPON TELEPHONE,NIPPON TELEPHONE,ニッポンデンワ,ニッポンデンワ
CROPS CORPORATION,CROPS,CROPS,クロップス,クロップス
NIPPON TELEGRAPH AND TELEPHONE CORPORATION,NIPPON TELEGRAPH AND TELEPHONE,NIPPON TELEGRAPH AND TELEPHONE,ニッポンデンシンデンワ,エヌティティ
KDDI CORPORATION,KDDI,KDDI,ケーディーディーアイ,ケーディーディーアイ
SoftBank Corp.,SoftBank Corp,SOFTBANK CORP,ソフトバンク,ソフトバンク
"HIKARI TSUSHIN,INC.",HIKARI TSUSHIN,HIKARI TSUSHIN,ヒカリツウシン,ヒカリツウシン
OKINAWA CELLULAR TELEPHONE COMPANY,OKINAWA CELLULAR TELEPHONE COMPANY,OKINAWA CELLULAR TELEPHONE COMPANY,オキナワセルラー,オキナワセルラー
"NTT DOCOMO,INC.",NTT DOCOMO,NTT DOCOMO,エヌテーィテーィドコモ,ドコモ
MTI Ltd.,MTI,MTI,エムティーアイ,エムティーアイ
"Bell-Park Co.,Ltd.",Bell Park,BELL PARK,ベルパーク,ベルパーク
"TOSHIN HOLDINGS CO.,LTD",TOSHIN LTD,TOSHIN LTD,トウシン,トウシン
"FORVAL TELECOM,INC.",FORVAL TELECOM,FORVAL TELECOM,フォーバルテレコム,フォーバルテレコム
"SAKAI Holdings CO.,LTD",SAKAI LTD,SAKAI LTD,サカイ,サカイ
GMO internet Inc.,GMO internet,GMO INTERNET,ジーエムオーインターネット,ジーエムオーインターネット
Fibergate Inc.,Fibergate,FIBERGATE,ファイバーゲート,ファイバーゲート
Aidma Marketing Communication Corporation,Aidma Marketing Communication,AIDMA MARKETING COMMUNICATION,アイドママーケティングコミュニケーション,アイドママーケティングコミュニケーション
"AlphaPolis Co.,Ltd.",AlphaPolis,ALPHAPOLIS,アルファポリス,アルファポリス
KADOKAWA CORPORATION,KADOKAWA,KADOKAWA,カドカワ,カドカワ
"GAKKEN HOLDINGS CO.,LTD.",GAKKEN,GAKKEN,ガッケン,ガッケン
"ZENRIN CO.,LTD.",ZENRIN,ZENRIN,ゼンリン,ゼンリン
"Shobunsha Holdings,Inc.",Shobunsha,SHOBUNSHA,ショウブンシャ,ショウブンシャ
"CHUOKEIZAI-SHA HOLDINGS,INC.",CHUOKEIZAI SHA,CHUOKEIZAI SHA,チュウオウケイザイシャ,チュウオウケイザイシャ
"SE Holdings and Incubations Co.,Ltd.",SE and Incubations,SE AND INCUBATIONS,エスイーホールディングスアンドインキュベーションズ,エスイー
"Impress Holdings, Inc.",Impress,IMPRESS,インプレス,インプレス
I-NET CORP.,I NET CORP,I NET CORP,アイネット,アイネット
"Shochiku Co.,Ltd.",Shochiku,SHOCHIKU,ショウチク,ショウチク
"TOHO CO.,LTD",TOHO LTD,TOHO LTD,トウホウ,トウホウ
"TOEI COMPANY,LTD.",TOEI COMPANY,TOEI COMPANY,トウエイ,トウエイ
NTT DATA CORPORATION,NTT DATA,NTT DATA,エヌティティデータ,エヌティティデータ
PCA CORPORATION,PCA,PCA,ピーシーエー,ピーシーエー
"SAISON INFORMATION SYSTEMS CO.,LTD.",SAISON INFORMATION SYSTEMS,SAISON INFORMATION SYSTEMS,セゾンインフォメーションシステムズ,セゾンインフォメーションシステムズ
"Japan Process Development Co.,Ltd.",Japan Process Development,JAPAN PROCESS DEVELOPMENT,ジャパンプロセスディベロップメント,ジャパンプロセスディベロップメント
BUSINESS BRAIN SHOWA・OTA INC.,BUSINESS BRAIN SHOWA・OTA,BUSINESS BRAIN SHOWA・OTA,ビジネスブレインショウワオオタ,ビジネスブレインショウワオオタ
DTS CORPORATION,DTS,DTS,ディーティーエス,ディーティーエス
"SQUARE ENIX HOLDINGS CO.,LTD.",SQUARE ENIX,SQUARE ENIX,スクウェアエニックス,スクウェアエニックス
"KYCOM HOLDINGS CO.,LTD.",KYCOM,KYCOM,キョウコム,キョウコム
"KSK CO.,LTD",KSK LTD,KSK LTD,ケーエスケー,ケーエスケー
"RYOMO SYSTEMS CO.,LTD.",RYOMO SYSTEMS,RYOMO SYSTEMS,リョウモウシステムズ,リョウモウシステムズ
COMPUTER ENGINEERING & CONSULTING LTD.,COMPUTER ENGINEERING CONSULTING,COMPUTER ENGINEERING CONSULTING,コンピュータエンジニアリングコンサルティング,シーイーシー
"CAPCOM CO.,LTD.",CAPCOM,CAPCOM,カプコン,カプコン
"CREO CO.,LTD.",CREO,CREO,クレオ,クレオ
ISB CORPORATION,ISB,ISB,アイエスビー,アイエスビー
"NCS&A CO.,LTD.",NCS A,NCS A,エヌシーエスアンドエー,エヌシーエスアンドエー
"JASTEC Co.,Ltd.",JASTEC,JASTEC,ジャステック,ジャステック
SCSK Corporation,SCSK,SCSK,エスシーエスケー,エスシーエスケー
"NIPPON SYSTEMWARE CO.,LTD.",NIPPON SYSTEMWARE,NIPPON SYSTEMWARE,ニッポンシステムウエア,エヌエスダブリュ
INES Corporation,INES,INES,アイネス,アイネス
TKC Corporation,TKC,TKC,ティーケーシー,ティーケーシー
FUJI SOFT INCORPORATED,FUJI SOFT INCORPORATED,FUJI SOFT INCORPORATED,フジソフト,フジソフト
IX Knowledge Incorporated,IX Knowledge Incorporated,IX KNOWLEDGE INCORPORATED,アイエックスナレッジ,アイエックスナレッジ
"NSD CO.,LTD.",NSD,NSD,エヌエスディー,エヌエスディー
KONAMI HOLDINGS CORPORATION,KONAMI,KONAMI,コナミ,コナミ
"Fukui Computer Holdings,Inc.",Fukui Computer,FUKUI COMPUTER,フクイコンピュータ,フクイコンピュータ
"ASAHI INTELLIGENCE SERVICE CO.,LTD.",ASAHI INTELLIGENCE SERVICE,ASAHI INTELLIGENCE SERVICE,アサヒインテリジェンスサービス,アサヒインテリジェンスサービス
JBCC Holdings Inc.,JBCC,JBCC,ジェイビーシーシー,ジェイビーシーシー
"MIROKU JYOHO SERVICE CO.,LTD.",MIROKU JYOHO SERVICE,MIROKU JYOHO SERVICE,ミロクジョウホウサービス,ミロクジョウホウサービス
SoftBank Group Corp.,SoftBank Corp,SOFTBANK CORP,ソフトバンクグループ,ソフトバンク
